date,value
2024-01-01,69.05884486123539
2024-01-02,40.07167770854561
2024-01-03,2.676890069597637
2024-01-04,8.51915429814234
2024-01-05,19.29047268194104
2024-01-06,74.93030556932592
2024-01-07,62.79516436358132
2024-01-08,77.01498094168461
2024-01-09,35.97090514307364
2024-01-10,66.72518495109128
2024-01-11,74.38186745539339
2024-01-12,81.52092416028512
2024-01-13,93.6716378244407
2024-01-14,14.6629107629076
2024-01-15,70.48248640109796
2024-01-16,91.137951273135
2024-01-17,74.46622716330282
2024-01-18,0.8875290731398033
2024-01-19,18.01014631000031
2024-01-20,59.60904009551822
2024-01-21,13.496370057487184
2024-01-22,8.691756254740302
2024-01-23,85.81018696339075
2024-01-24,39.55510448105972
2024-01-25,46.01199380785044
2024-01-26,38.021021423221036
2024-01-27,31.68182696755768
2024-01-28,52.792438464599336
2024-01-29,46.8172387174971
2024-01-30,5.276715638767149
2024-01-31,19.525781815962517
